,input,output
1785,joebiden legal author forc vaccin million american propos outrag unlaw close watch develop take action within author offic stop unpreced power grab,0.0
1786,joebiden warn dark winter nation dark winter face due covid19 due moral declin amp polit corrupt see throughout us prayer truth prevail polit crisi face,0.0
1787,joebiden promis shut viru fail,1.0
1788,joebiden reach hold hand kentucki gov andybeshearki young son put use mask boy hand,1.0
1789,joebiden wasnt white hous 30 minut cancel keyston xl pipelin amp put thousand union worker job stroke pen cancel 16 billion dollar union contact amp 900 million dollar union wage hey nice hashtag,2.0
1790,joebiden malarkey iowa bu tour start council bluff laugh excit drbiden gestur almost hit joe headand bit finger,1.0
1791,joebiden know vaccin requir unpopularfor mani theyr even popular whoar anxiou get administr put place control life save lifeand live other,1.0
1792,joebiden problem figur whether your trump aint black cthagod dont noth trump fact want someth commun breakfastclubam,1.0
1793,joebiden know there great philosoph talk jill put note mirror want shave get messag across there philosoph said faith see best dark kierkegaard said,1.0
1794,joebiden keep forget im presid,1.0
1795,joenbc freak moron idiot lunat american oppos vaccin passport govern sport team concert promot damn well better put togeth someth show vaccin receipt,1.0
1796,joenbc fauci im vaccin safe go outsid basebal game fauci ye there noth wrong wear mask anyway,0.0
1797,joenbc countri half centuri requir vaccin children protect protect societi dont owe senior citizen dont owe rest america,0.0
1798,joerogan hasnt spent past 18 month live fear peopl mild cold didnt rush take experiment vax got viru took ordinari medicin felt like mild cold he fine sound like joe right,2.0
1799,johnshopkin help lead global fight covid give honorari degre angelamerkel whose opposit share covid vaccin ensur never cure hopkin student fight back,0.0
1800,joyannreid announc thereidout blog go live tomorrow digit extens show led writer _jahan jone featur exclus web content dive discuss show amp much check daili reider,2.0
1801,joyannreid doubl say conserv bad peopl actual murder terrorist pass news msnbc today,1.0
1802,joyannreid lead thereidout tonight explor part gov gavin newsom beat recal effort accord exit poll import issu voter pandem thereidout reider,0.0
1803,joyannreid respond nickiminaj tweet covid19 vaccin use platform encourag commun protect save live fan sad thereidout reider,1.0
1804,joyannreid realli stand white antivaxx particular act like freedom taken weird habit tri coopt histori actual oppress peopl,0.0
1805,joyvbehar cohost theview got littl excit idea govern social media compani take away right,2.0
1806,judgecortez call feder immigr offici stop releas infect migrant commun call governor abbott return hidalgo counti safeti tool took away would help us slow spread diseas rgv,0.0
1807,judicialwatch lawsuit uncov us embassi beij concern diplomat personnel ask submit anal swab covid test redact doc show mani two peopl either ask requir take anal swab test covid chines govt,1.0
1808,julienohnsontx also juli wear mask,1.0
1809,jussiesmollett one kindest gentl human be know im pray quick recoveri attempt modern day lynch one fear life sexual color skin must confront hate,1.0
1810,kjp46 clean biden comment yesterday potenti 450000 settlement immigr affect famili separ polici trump admin karin say biden perfectli comfort w settlement come biden said gonna happen,1.0
1811,kloeffler suppos repres peopl georgia instead she tri diminish voic ought asham,0.0
1812,kamalaharri flat lie said order port oper 247 that physic logist imposs write trucker shortag catastroph accord industri analyst there one driver everi 537 flatb load,1.0
1813,karilak elect integr ralli,1.0
1814,kenpaxtontx texa democrat governor go keep call back come back eventu theyr go vote,1.0
1815,kingjam vast resourc amp influenc educ frankli respons fact weigh disgrac amp extrem reckless offic save young girl life amount gaslight chang fact,0.0
1816,lasdhq covid super spreader task forc conduct raid 5 locat nye arrest 90 peopl confisc 6 handgun offici say,1.0
1817,latimess chrismegerian ask jen psaki biden tumbl poll number covid wonder whether show peopl lose trust issu psaki repli bad poll number actual reflect peopl sick tire covid,1.0
1818,laraleatrump join justic react vp harri fail diplomaci tour check,1.0
1819,larrysabato say glennyoungkin win itll bc white power amp accept lie oper word israc mattersther lot ofwhit backlash white resist whatev want call itw live postfactu era vagov,1.0
1820,leaderhoy say go talk whether go back mask mandat capitol hill work ask recent breakthrough covid19 case add attend physician monahan touch cdc suggest go back mask,0.0
1821,leadermcconnel absolut right count,0.0
1822,leadermcconnel republican democrat member staff negoti night good faith senat move toward plan laid yesterday spare american peopl manufactur crisi,0.0
1823,lesterholtnbc nbc news exclus havent border vice presid kamala harri havent europ,0.0
1824,lilnasx vma video year montero call name,2.0
1825,lisaforsen great leader who fight peopl alaska look forward big win 2022,1.0
1826,liz_cheney hit back tedcruz went fox news last night amp accus trump derang syndrom say broke trump trump broke ted cruz cheney told real man would defend wife father constitut,1.0
1827,louisianagov hurrican ida major major storm go test us way weve test lot reason covid situat certainli one,0.0
1828,mtg repdebdingel got scream match step capitol mtg heckl democrat hold press conf pass legisl respond texa abort law,2.0
1829,maddowblog last year former presid trump polit oper rais 100 million rnc still help pay legal bill,1.0
1830,maddowblog new head oklahoma nation guard effect decid go rogu pentagon vaccin polici good come,1.0
1831,maddowblog crimin dimens stori limit contempt congress first steve bannon soon mark meadow there reason assum list end,1.0
1832,mailonlin sen ted cruz brand fauci danger bureaucrat histori america say covid tsar gainoffunct contradict could land prison five year,2.0
1833,marthamaccallum torch nih director franci collin fauciemail ask one wthe subject line conspiraci gain momentum lab theori lament someth never thoughtwould becom topic fox news amp never dismiss,1.0
1834,mattgaetz viru,1.0
1835,matthancock resign letter borisjohnson repli,1.0
1836,mattwalshblog daili wire fundrais aoc grandmoth aoc tri blame donald trump poor live condit aoc think better denounc systemat injustic actual anyth help,1.0
1837,mayorbows critic defund polic effort dc council say offic need citi abl hire council budget cut polic,2.0
1838,mediarightnews1 suspend follow telegram,1.0
1839,meghanmccain pre biden testi respons cnn kaitlan collin trump bad doesnt absolv biden bad behavior 100 trumpi press job speak truth power,0.0
1840,mensahtamstock win gold wrestl olymp champion women freestyl 68kg tokyoolymp,1.0
1841,miamisup alberto carvalho say florida ban mask mandat violat right children disabl condit district us relax protocol,1.0
1842,mjrodriguez7 describ mean recogn emmi nomin perform poseonfx emmys2021,2.0
1843,nbcnew pla role wiv shizhengli tell truth couldnt trust wiv didnt sarscov2 precursor viru repositori prior outbreak would prove pandem stem lab incid,2.0
1844,nfl announc intern home market area team market inform click,2.0
1845,nih trial support use cdcm day 1 4 hour initi dose reduc sarscov2 viral load saliva longterm effect 7 day cdmc appear provid modest benefit compar placebo reduc viral load saliva,2.0
1846,nra board member conspiraci theorist allen west head hospit due covid recent wrote ope say black american like get sick junk food covid,0.0
1847,nra break 13yr border patrol agent roy cantu warn biden border crisi could soon get wors amp urg ppl util second amend 4 safeti cantu publicli refus vaccin escal polici presssec usbpchief,2.0
1848,nsbapubl apolog member friday letter presid biden threat toward school board member say organ would review commun process procedur read letter,1.0
1849,nycmayor nycmayorsoffic resign ogr,1.0
1850,nycmayor billdeblasio say want requir proof vaccin 511 year old enter institut restaur gym say itll take,1.0
1851,nycmayor bill de blasio tell wolf blitzer ban larg gather new york citi except black live matter protest wolf blitzer follow ask us open,1.0
1852,nycmayor de blasio defend vax mandat human be pretti predict say paycheck depend abil enjoy life go thing want peopl make practic decis push hard enough,1.0
1853,nycmayor announc vaccin mandat new york citi worker read,1.0
1854,nygovcuomo covid speak tremend person benefit,2.0
1855,newsmax emeraldrobinson battl jen psaki biden administr cut florida suppli antibodi treatment psaki say that accur boast real treatment vaccin there need equit,1.0
1856,newsi,1.0
1857,nicholasseppi call covid school closur aw want give parent voic promot vocat educ landslid,1.0
1858,oldrowolemiss check,1.0
1859,potu joebiden expand program bring ten thousand central american migrant children flight directli us openbord humantraffick wsj,2.0
1860,potu ask lead diplomat work mexico el salvador guatemala hondura address situat southern border address root caus migrat wont easi workbut necessari,2.0
1861,potu creat cop program gop tri defund polic elimin ever sinc contrast presid ran rais cop fund stood polic layoff oppos arp encourag jan 6 180 that welcom,1.0
1862,potu nonpubl day wh say hell meet nation secur team afghanistan receiv updat covid19 respons engag member congress regard build back better agenda hous return next week,1.0
1863,potu use everi tool dispos fight inflat lower price would gop let covid19 run rampant rais cost essenti like health care hous stop million job creat,1.0
1864,potu look eye said spend 55t cost noth believ fool rube wors cost children money cost us famili way life must stop,1.0
1865,potu need immedi retract fals claim concern border control agent use hors job claim wide debunk shock total surpris potu would promulg fals accus make childish threat,1.0
1866,potu border patrol agent del rio cours take respons im presid see peopl treat like hors nearli run peopl strap outrag promis peopl pay,1.0
1867,potu say pandem unvax data england show 63 delta death last 75 month fulli vax wont cdcgov share us data american peopl justif mandat refus recogn natur immun,1.0
1868,potu spoke vp whco approxim 1135am morn potu good spirit time resum duti remain walter reed complet rest routin physic,0.0
1869,potu vp dr fauci discuss new covid variant rosevelt room potu ask american get fulli vaccin booster shot,1.0
1870,potu pleas provid list everi social media compani work censor content administr deem disinform pleas produc written polici plan outlin administr censorship program,1.0
1871,potus45 endors karilak az governor kari make wonder famili maga movement proud kari lake complet total endors great governor incred peopl arizona full statement,1.0
1872,potus45 share articl wsj icymi biden covid death mileston,1.0
1873,potus45 unanim proven right initi world health organ report wuhan lab flaw must redon time truli transpar investig right china viru begin,1.0
1874,potus45 joe biden kept talk good job he distribut vaccin develop oper warp speed quit simpli trump administr he well full statement,1.0
1875,potus45 irregular outright fraud elect open wound unit state america someth must doneimmedi full statement,1.0
1876,potu climat chang live dont time cant turn back much prevent get wors togeth,1.0
1877,potu fact outrag behavior last administr come across border whether legal illeg lost child gone deserv kind compens matter circumst,1.0
1878,potu mani record stock market hit presid imagin guy great stock market surg gone higher anybodi doesnt mean best economi,1.0
1879,potu everyon follow protocol get vaccin listen dr fauci chanc gather small group celebr juli 4th,1.0
1880,potu vaccin decre allout assault privat busi civil liberti entir constitut system limit govern like get struck court terrifi glimps new marxist dem parti,1.0
1881,pentagonpressec today depart defens releas calendar year 2020 annual suicid report continu take action prevent suicid support militari member famili secretari said everi death suicid tragedi,1.0
1882,presssec jen psaki cant name one republican said want defund polic,2.0
1883,presssec defend dr fauci amid report untruth deni congress agenc fund gainoffunct research china nih refut report,0.0
1884,presssec defend fauci lie fund gainoffunct research china differ coronaviru said correct,0.0
1885,presssec ask biden repeat cough press confer dont think issu concern there rang reason need clear throat light cold,1.0
1886,presssec ask regulatori move address misinform social media dont think weve taken option tabl that congress war battl facebook battl viru,1.0
1887,presssec ask presid biden didnt post commemor dday valu role men serv dday memori someth presid spoke mani time past close heart,1.0
1888,presssec make crystal clear follow question ye termin employ possibl feder worker contractor refus get vaccin,2.0
1889,presssec make light suppli chain issu laugh tragedi treadmil that delay,0.0
1890,presssec afghanistan drone strike loss civilian life tragedythi done error full video,0.0
1891,presssec cuba commun fail ideolog certainli believ,0.0
1892,presssec dr fauci email he undeni asset countri pandem respons obvious advantag relitig substanc email 17 month ago,1.0
1893,presssec presid biden covid address tomorrow speech lock countri watch,1.0
1894,presssec texa dem test posit covid dont think im go posit assess safeti precaut may may taken obvious individu tri elev issu individu right vote,1.0
1895,presssec white hous confid infrastructur vote came washington like episod tv show mayb west wing someth good happen mayb veep,1.0
1896,presssec flag disinform shouldnt come surpris touch social media like regular touch media outlet area concern,1.0
1897,presssec say biden administr engag target commun commun doortodoor outreach get remain american vaccin,1.0
1898,presssec walk room ask report dr fauci untruth naiad fund gainoffunct research,1.0
1899,presssec carri biden tradit invent nicknam say infrastructur bill sign call sheriff joe reason,1.0
1900,presssec come week releas detail plan smooth transit back repay high prioriti administr,2.0
1901,presssec view rise ga price long term make even stronger case doubl invest focu clean energi option,1.0
1902,presssec war desanti viru tri kneecap seem want particip effort kneecap viru henc concern full video,0.0
1903,presssec presid ran vote candid histori platform boost fund law enforc republican spent decad tri cut cop program,1.0
1904,presssec presid want make fundament chang economi,2.0
1905,presssec flag problemat post facebook spread disinform,2.0
1906,rwalenski mischaracter paper conceal cdc origin tortur summari expos studi junk consid prior infect end hospit one didnt natur immun help prevent hospit,1.0
1907,randpaul goe hh secretari becerra ignor histori scienc asham apolog american peopl dishonest natur acquir immun,2.0
1908,randpaul evicer dr fauci theater requir american alreadi immun covid continu wear mask fauci ultim rebutt total disagre,1.0
1909,randpaul absolut go dr fauci claim commit perjuri recent testimoni congress,1.0
1910,randpaul nail dr fauci wall danger gainoffunct research lack judgement think time resign,1.0
1911,randpaul say biden fire fauci usfund research wuhan lack judgment noth els fauci fire back paul axiosonhbo interview tell thisweekabc critic impli research led covid19 molecularli imposs,1.0
1912,randpaul vs dr fauci round 7 nih chang definit gain function websit tri cover ass basic that youv done youv chang websit chang definit doesnt includ riski research that go,1.0
1913,randpaul right,1.0
1914,randpaul dr fauci still supportnih fund lab wuhan dr anthoni fauci senat paul due respect entir complet incorrect full video,0.0
1915,randpaul ye fauci ought immedi fire,1.0
1916,randpaul dr fauci unwis naïv likelihood lie us want honest investig dr fauci exclud,1.0
1917,rashidatlaib entitl opinion fact israel give vaccin citizen jewish arab alik pa respons palestinian healthcar reject israel help order vaccin,2.0
1918,realcandaceo join tucker carlson discuss benefit open border politician want get chang demograph get vote conspiraci theori truth,1.0
1919,realcandaceo ask trump alec baldwin there someth wrong think he crazi,0.0
1920,repadamschiff offic director nation intellig probabl devast agenc terribl leadership peopl like rick grenel john ratcliff,2.0
1921,repgwenmoor attend speaker vote today per offic moor announc test posit covid dec 28 moor work doctor safe travel said aid,1.0
1922,repjasonsmith birth peopl ive never heard term explain mean act omb director young certain peopl gender ident appli femal male think languag need inclus,1.0
1923,repmtg govern shut downshut pass cr shut,1.0
1924,repmattgaetz go take power next elect go day paul ryan trey gowdi real oversight real subpoena go day jim jordan marjori taylor green dr gosar,1.0
1925,repmccaul tell chri wallac american held hostag taliban six plane afghanistan right,1.0
1926,repmullin polic offic fatal shot woman capitol januari 6th happen came physic emot distraught actual gave hug said sir,1.0
1927,richardgrenel say absolut hope speaker want take hous best way keep nanci pelosi right,0.0
1928,robwittman guest host sandrasmithfox need open transpar independ evalu happen wuhan institut virolog,1.0
1929,robertkennedyjr show strong 15 ny defend medicalfreedom call activist peac assembl us albani 15 take stand mandat bu ticket gt propos bill gt teacher_choic,1.0
1930,rodphillips01 wave hear behind queen park zoom background disgrac ford knew two week onpoli date dec 16 2020,1.0
1931,rondesantisfl courag stand ground fortifi florida model freedom weve got golf ball back fortifi florida golf ball set avail exclus storefront get,1.0
1932,rudygiuliani hasnt convict indict w em accus crime yet ny law licens suspend felon licens democrat savag anim hate constitut rule law,1.0
1933,saracarterdc afghan peopl brave stood side soldier mani believ liberti amp freedom believ liberti amp freedom even american believ liberti amp freedom bc know like,2.0
1934,sarahmorenoenh elnuevoherald tell roundup journalist begun also say ap journalist attack arrest cuba,1.0
1935,scottgottliebmd delta variant vaccin develop asymptomat mildli symptomat infect probabl higher chanc transmit viru,0.0
1936,scottgottliebmd key question omicron prior infect delta variant provid durabl immun three shot regimen includ booster provid immun watch gt,0.0
1937,scottgottliebmd weigh cdc updat mask guidanc,2.0
1938,scottmorrisonmp presid biggest big state govern australia ever seen dont tri tell covid19 extraordinari circumst weve two world war spanish flu great depress never govern behav badli,1.0
1939,secblinken must recommit allianc share valu sustain read,0.0
1940,secmayorka issu nation terror advisori system nta bulletin regard heighten threat environ across unit state read full bulletin,1.0
1941,secmayorka reason rise border cross former presid trump slash resourc contribut root caus irregular migrat,1.0
1942,secmayorka know imag pain conjur worst element nation ongo battl system racism,0.0
1943,secpompeo arriv doha qatar peac talk afghan govern taliban photo via mboyle1,1.0
1944,secretarypet infrastructur bill get season kind shortterm stimulu make sure america win futur time competitor like china alli invest much,1.0
1945,senalexpadilla sen joe manchin announc wont vote build back better honestli huge shock caveat yet sundayshow,0.0
1946,senbobcasey peopl say expens say yep expens time start invest famili lacaldwelldc look democrat human infrastructur propos expand home care servic america senior,2.0
1947,senronjohnson former green bay packer ken ruettger held press confer famili want seen heard believ medic commun suffer advers reaction covid vaccin subscrib thedefend,2.0
1948,senschum marijuana legisl past decad american attitud toward marijuana undergon dramat transform watch senschum senbook ronwyden cannabi legisl news confer live 1215pm et onlin,1.0
1949,senschum parliamentarian rule last night rule extrem disappoint sadden frustrat anger caus mani live stake make mistak fight continu,1.0
1950,senschum good newsw reach agreement extend debt ceil earli decemb hope get done soon today,0.0
1951,senstabenow blame republican wear mask sen warren amp booker catch covid unfortun peopl republican side major wear mask also frustrat,1.0
1952,sentomcotton 100 right,2.0
1953,sentomcotton judg garland shame testimoni direct perform shame thank god suprem court resign disgrac judg,1.0
1954,sen_joemanchin dwv bipartisan infrastructur bill hold bill hostag go work get support reconcili bill full press confer,1.0
1955,sen_joemanchin coal power plant unit state 589 10 year ago 504 nation reduc relianc far coal energi,1.0
1956,sen_joemanchin reconcili let clear number 15 trillion goe outlin need includ newsnationam manchin,0.0
1957,senatorsinema mani time heard bipartisanship isnt possibl anymor import polici happen parti line legisl prove opposit senat negoti legisl show get thing done,0.0
1958,senatorwarnock think import colleagu side aisl see ironi insist defend minor right senat refus stand minor right societi,1.0
1959,simone_bil import role model mani way includ make right amp brave decis week mentalhealth essenti overal wellb need protect whatev way work us,0.0
1960,southwestair ceo gari kelli test posit covid day appear senat hear w ceo unit american mask hear unmask appear support lift mask mandat plane,0.0
1961,speakerpelosi hypocrit differ rest parti houseofhypocritesdemocrat group socialist marxist pelosi remov mask violat capitol polic guidanc foxnew,1.0
1962,speakerpelosi direct capitol hill polic chief arrest maskless staff visitor capitol problem isnt queen senat side took staff middl capitol visit line hous senat covid stop,1.0
1963,speakerpelosi househunt florida maskless want set base oper 2022 2024 fl grassroot activist shine bright spotlight everi move real time peopl one step ahead granni vodka,1.0
1964,speakerpelosi knew jim_jordan go ask tough question didnt want answer,2.0
1965,speakerpelosi say oneyear anniversari jan 6 insurrect includ discuss among historian narr day opportun member share experi reflect day prayer vigil even,2.0
1966,speakerpelosi lisadnew infrastructur path win vote dont want even consid option that way that culturew go win full video,0.0
1967,speakerpelosi updat us hous mask polici chair wish inform member staff mask requir hall hous howev member permit remov mask temporarili recognit,2.0
1968,speakerpelosi weekli news confer live onlin,1.0
1969,speakerpelosi republican parti delinqu embrac scienc peopl need vaccin,0.0
1970,speakerpelosi price tag what bill price tag anyth valu dollar,2.0
1971,statedeptspox us deepli concern health prc journalist ms zhang zhan reiter call prc immedi amp uncondit releas amp beij respect free press amp right peopl express freeli,1.0
1972,stevebellon confirm 705 cop brought largest hire polic law enforc offic suffolk counti histori,2.0
1973,stevekornacki california recal elect rule thumb recal need run 16 point better given counti trump ran that democrat state that challeng recal support,1.0
1974,tgowdysc collus person univers claim evid collus adam schiff unlik secret he ever he actual kept one watch full interview 2pm amp 7pm et foxnew,1.0
1975,terrymcauliff glennyoungkin northern virginia tonight w contrast close messag fairfax mcauliff deliv remark denounc former presid trump teler youngkin loudoun counti youngkin hold parent matter ralli vagov,0.0
1976,terrymcauliff watch result home tonight famili send note support say result elect come win lose rest assur everyth creat futur want,1.0
1977,thejusticedept here free gift membership,0.0
1978,tiffanydcross choic word billmah crossconnect,1.0
1979,usda approv disast snap assist addit 38k wayn amp washtenaw household impact sever storm amp flood june 25 amp 26 resid appli dsnap inperson aug 1219 inform appli dsnap visit,2.0
1980,ustreasuri deliv payment file federalreserv american econom impact payment payment may begin arriv account direct deposit earli tonight continu next week 12,0.0
1981,us_fda revis side effect pfizer covid vaccin sinc august 23 2021 sever sever american choic decid medic procedur choos get,1.0
1982,vp harri admit biggest failur leav dc due covid biggest concern dont ever want bubbl come awar touch peopl need given moment margbrennan exclus interview sunday,1.0
1983,vp harri easi would handl long time agoiv border ill go,2.0
1984,vp harri sunni hostin ana navarro strong women know theyr fine realli also speak fact theyr vaccin vaccin realli make differ otherwis would concern hospit wors,2.0
1985,vp kamala harri soar inflat fail leadership price gone famili individu deal realiti bread cost ga cost,0.0
1986,vp kamala harri welcom german chancellor angela merkel work breakfast vice presid resid,1.0
1987,vp kamala harri right women make decis bodi negoti right women make decis bodi decis bodi,1.0
1988,vp kamala harri right women make decis bodi negoti right women make decis bodi decis bodi,1.0
1989,vp kamala harri virtual everi person hospit right sick covid19 unvaccin child crowd say harri almost everi one unvaccin let children speak,0.0
1990,vp kamala harri today say fight gavin newsom fight countri fight valu hold dear fight work peopl fight organ labor fight dreamer fight women fight vote right,0.0
1991,vp kamala harri peopl abl make choic without govern interfer term wellb wellb famili stronger societi,1.0
1992,vp kamala harri peopl abl make choic without govern interfer term wellb wellb famili stronger societi,1.0
1993,vp need quarantin offic say,1.0
1994,vp shout surpris upon arriv surpris birthday celebr,1.0
1995,whco wrong live trailer park 70 high inflat assur rise price high class problem hurt lowincom famili,1.0
1996,stand african nation amp call border remain open countri impos flight ban southern african nation due concern new omicronvari urg countri follow scienc amp health regul covid19,0.0
1997,wvcantwait stephen smith sen manchin serv constitu lie say care voter think never sunday show,1.0
1998,walgreen close 5 addit store san francisco includ one locat 4645 mission st excelsior,2.0
1999,wendyrogersaz sonnyborrelli realmarkfinchem must lot nervou guilti peopl arizona took part corrupt 2020 elect readi start sing safe contact help investig come clean,1.0
2000,yamich administr forc suprem court rule feder evict moratorium concern may strike broad use public health law polici wh advisor sperl person yeah,1.0
2001,youtub demonet grabienmedia youtub channel share content googl doesnt want share,1.0
2002,albamonica report biden administr reaction taliban gain control afghanistan,1.0
2003,alrok messag think he old stand outsid hurrican sundayshow,0.0
2004,ananavarro critic florida gov ron desanti campaign dont fauci florida merchandis call exploit profit pandem irrespons shame dont cute,2.0
2005,axio report whitehous offici speakerpelosi staffer test posit covid attend recept texa democrat legisl vaccin covid,1.0
2006,betterdotcom ceo vishalgarg_ lay 900 employe right holiday ahead compani public market debut firm also got 750 million cash infus backer week includ softbank,1.0
2007,blmripac statement katecoynemccoy,1.0
2008,bostonpolic bring offic dress riot gear area protestscount protest happen boston common nbc10boston necn,2.0
2009,carlbernstein man cobrok waterg say newli releas trump tape déjà vu someth far wors waterg,0.0
2010,chicagosmayor lorilightfoot long enjoy media call bs she final call liter start make stuff crime control citi homicid that fact sir murder chicago 35 2019 ytd,2.0
2011,chrislhay weird realiti vaccin folk amid omicron wave risk went someth hadnt realli dealt lifetim someth look like flu flu still dangerousbut reorient live around flu,1.0
2012,chrislhay press fauci tonight new cdc guidanc hay scienc back idea 5 day your still shed viru fauci one situat often say dont want perfect enemi good,0.0
2013,chucktodd said mcauliff surrog suppos appear show tonight bail,1.0
2014,ciara amp babi podium,1.0
2015,ciara three kid white hous promot child vaccin flotu today,1.0
2016,dbongino publicli call cumulu carri radio show hundr station issu vaccin mandat im let go find local station listen live watch,1.0
2017,dbongino cumulu radio vaccin mandat cant us find local station listen live watch,1.0
2018,elonmusk twitter battl senat warren call grifter amp freeload doesnt pay tax basic amp im liter pay tax individu histori ever paid year ever doesnt pay tax basic thebabylonbe,1.0
2019,flotu drbiden star cover august issu read full profil,1.0
2020,glennkirschner2 explain happen former presid donald trump doesnt show deposit 2015 incid secur allegedli rough protestor msnbc,0.0
2021,gstephanopoulo time vaccin mandat nihdirector dr franci collin yeah think ought use everi public health tool peopl die,1.0
2022,guypbenson monoclon antibodi part biden winter covid plan foxnewsnight foxnew,1.0
2023,halliejackson ask dr fauci whether covid vaccin kid 5 11 avail halloween think there realli good chanc halloween,1.0
2024,jairbolsonaro,1.0
2025,jaketapp feel passion view vaccin mandat let debat benefit american debat enthusiast support censorship diverg opinion dr fauci effect covid pandem manag makejakedeb,1.0
2026,jaketapp go forward given china wont allow real investig still think usg collabor wuhan lab especi riski research fauci alway care look forward continu care,1.0
2027,jimcram say he tripl vaccin announc test posit covid19,1.0
2028,jimmy_dor told joerogan month receiv second dose moderna covid vaccin continu suffer side effect includ fever bodi ach exhaust stiff neck subscrib thedefend,1.0
2029,jimmykimmel reason vp harri unpopular american sexist racist,1.0
2030,julie_kelly2 tell marklevinshow american peopl need know joe biden justic depart hold polit prison jail washington dc open hold jan 6 defend deni bail polit prosecut trump support,1.0
2031,kaitlancollin ask new york governor andrew cuomo call resign presid biden ye full video,1.0
2032,kaitlancollin call gov andrew cuomo resign presid joebiden ye,0.0
2033,kayleighmcenani thank kick day hearti laughter,1.0
2034,kayleighmcenani delet tweet must realiz murder rate spike trump presid slow sinc joe biden becam presid oop,1.0
2035,lapublichealth author enforc new mask order underfundeddefund expend limit resourc instead ask voluntari complianc read full statement visit,1.0
2036,larryeld gavin newsom peopl incens way man slam state draconian way compar 49 governor josephpinion,1.0
2037,ma_frank propos second amend rewritten includ right selfdetermin reproduct matter,2.0
2038,madkbrew handmaidsonhulu fun stori gave hug found earn emmi nomin emmys2021,2.0
2039,marcorubio urg dh reveal detail flight illeg immigr land jacksonvil transport immigr statu test covid19,2.0
2040,margbrennan sen cruz told attorney gener prosecut dr fauci laugh prosecut happen januari 6th senat that okay im gonna job im gonna save live republican lawmak gonna lie,1.0
2041,martharaddatz press founder fair fight stacey abram convinc voter didnt come gener elect vote senat race fact republican done us abram say,0.0
2042,mayorbcyoung veto 22 mil cut bpd budget spokesman said cut approv citi council stand,2.0
2043,mkhammer drop absolut truth bomb cnn fauci look face,1.0
2044,msnbc corpor messag thanksgiv suck come lie stay antiamerican hate,1.0
2045,naomiosaka ask messag tri send wear 7 mask 7 name 7 match well messag got question,0.0
2046,neelkashkari plan address food inflat,1.0
2047,nikkifri first text ask ok told,0.0
2048,nypost steven nelson ask whether kamala harri still point person border crisi especi photo op chicago bakeri yesterday psaki got snack think she allow psaki doesnt seem handl tough question well,1.0
2049,nytim report fairfax counti delay process absente vote meet selfimpos 8pm deadlin mostli red earli night per tradit result pattern virginia,1.0
2050,pdooci ask jen psaki illeg immigr ask proof vaccin cross us arent say compar arent plan stay long amp expel alway ten thousand releas,1.0
2051,pdooci long administr spi peopl facebook profil look vaccin misinform presssec jen psaki quit load inaccur question full video,0.0
2052,pdooci presid ever apolog kyle rittenhous suggest white supremacist jen psaki trump fault,1.0
2053,pfizer ceo albert bourla peopl share misinform vaccin efficaci crimin theyr bad peopl theyr crimin liter cost million live,1.0
2054,pfizer attack free speech,1.0
2055,playbookdc call pre biden obvious bogu answer test say may told muir wish thought order 500m athom test 2 month ago biden alreadi promis 300m test 3 month ago bidenbrokenpromis,1.0
2056,realdonaldtrump call ga so far perfect fact violat state feder law tomorrow introduc resolut censur trump resign,0.0
2057,realdonaldtrump wisconsin open new hospit record surg covid19 case enough stay home,1.0
2058,rontkim neil governor cuomo intent behind impeach remov ban unfit offici seek public offic,2.0
2059,sammymewi use head 1 1 uswnt x teamusa x tokyoolymp nbcsn nbc sport app,0.0
2060,sarahpalinusa made mistak year ago support julian assang think bad guy ive learn lot sinc,1.0
2061,slccouncil sign joint resolut declar racism public health crisi publicli acknowledg exist grave inequ mani commun long experienc commit creat polici ordin antiracist,1.0
2062,stinchfield1776 count mani time presid biden cough hand tuesday address omicron variant,1.0
2063,stoltman_tom 2021 sbdapparel world strongest man,2.0
2064,tedcruz use longstand prerog senat get biden administr enforc sanction russia putin threaten invad ukrain lead russiagat say he undermin democraci,2.0
2065,the_mjf steal victori help shawnspear,0.0
2066,thereidout blog nation school board associ say member face threat respons covid safeti polici fals claim critic race theori,2.0
2067,usairforc airmen assist afghan evacue measl mump rubella vaccin program ramsteinairbas support operationallieswelcom,2.0
2068,visitmusicc work hard make nashvil new year eve safe possibl still celebr togeth everyon wish enter event site bicentenni mall requir show proof neg test volunt proof covid19 vaccin,2.0
2069,wef founder profklausschwab speak import mutual interdepend effort vaccin covid19 davosagenda session implement stakehold capit cnn jdefterioscnn watch session full,1.0
2070,develop white supremacist group patriot front march street philadelphia late last night earli morn philadelphia pd respond offic say one group philli group base fort worth texa updat 6abc,0.0
2071,member hous repres itali occupi parliament protest health passport itali parliament passport healthpass vaccin,1.0
2072,flotu read dont forget god bless troop children book wrote granddaught natali maryland second grader visit white hous,1.0
2073,foxnew exclus slight declin southwest border number august still high,1.0
2074,nfib small busi survey 1 concern soberlook morganstanley,1.0
2075,pb charact fun wait flotu come sit crackl fire read children book dont forget god bless troop invit 2ndgrader maryland part today unveil white hous holiday decor,1.0
2076,potu interrupt briefli immigr protest hold citizenship sign biden tell hang hell speak afterward isnt trump ralli addsw let holler,1.0
2077,potu vaccin enabl servic member stay healthi better protect famili ensur forc readi oper anywher world,1.0
